customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_group,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,num_services,Churn,churn_flag,churn_probability,risk_segment
0001-GBDZ,Male,0,No,No,4,0-12 mo,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,72.62,311.16,3,No,0,,N/A
0002-UYGM,Female,1,No,No,11,0-12 mo,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,47.96,568.52,3,No,0,,N/A
0003-PDEF,Male,0,No,No,31,25-48 mo,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),61.45,1965.91,4,No,0,,N/A
0004-QOJH,Male,0,Yes,No,69,49-72 mo,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,77.89,5424.94,4,Yes,1,,N/A
0005-VMJB,Male,0,Yes,No,6,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,102.22,541.63,2,No,0,,N/A
0006-HMIH,Female,1,Yes,No,42,25-48 mo,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.62,1323.21,4,No,0,,N/A
0007-UOKY,Male,0,Yes,Yes,10,0-12 mo,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,24.69,341.72,3,No,0,,N/A
0008-CIZX,Male,0,Yes,No,52,49-72 mo,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),51.16,2645.31,5,No,0,,N/A
0009-CNAM,Male,0,Yes,No,36,25-48 mo,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,52.94,1969.84,4,No,0,,N/A
0010-UGKC,Female,0,Yes,Yes,23,13-24 mo,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),51.72,1141.3,3,Yes,1,,N/A
0011-YRMW,Male,0,Yes,Yes,33,25-48 mo,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),79.33,2645.92,2,No,0,,N/A
0012-WDCG,Male,0,Yes,No,66,49-72 mo,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Mailed check,71.99,4752.46,3,Yes,1,,N/A
0013-BFBH,Male,0,No,No,15,13-24 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),58.09,776.69,2,Yes,1,,N/A
0014-ULEM,Male,0,No,Yes,46,25-48 mo,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,105.85,4842.37,5,Yes,1,,N/A
0015-NMXJ,Female,0,Yes,No,5,0-12 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,118.75,645.59,1,No,0,,N/A
0016-QYJJ,Male,0,Yes,No,38,25-48 mo,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.43,3122.49,4,No,0,,N/A
0017-HTXF,Female,0,Yes,Yes,44,25-48 mo,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),78.33,3442.82,5,No,0,,N/A
0018-YROC,Female,0,No,Yes,18,13-24 mo,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,67.27,1251.26,3,No,0,,N/A
0019-AFFH,Female,1,Yes,No,50,49-72 mo,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),31.52,1502.12,6,No,0,,N/A
0020-ZUVP,Male,0,No,No,26,25-48 mo,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),94.71,2452.79,3,No,0,,N/A
0021-JWDJ,Female,1,Yes,No,72,49-72 mo,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),57.96,4129.38,5,No,0,,N/A
0022-CPIF,Male,0,Yes,No,3,0-12 mo,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),63.27,101.76,5,No,0,,N/A
0023-PIPJ,Female,0,Yes,Yes,4,0-12 mo,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),69.11,320.95,5,No,0,,N/A
0024-WKQL,Female,1,Yes,No,59,49-72 mo,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),28.96,1731.56,3,No,0,,N/A
0025-BHHL,Female,0,No,No,59,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),104.5,6151.0,2,No,0,,N/A
0026-XIPN,Female,0,No,No,20,13-24 mo,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),90.21,1779.57,5,No,0,,N/A
0027-ZSYQ,Female,0,No,No,72,49-72 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,40.4,2838.34,1,No,0,,N/A
0028-HOUZ,Female,0,No,Yes,36,25-48 mo,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),33.71,1205.84,6,No,0,,N/A
0029-KPBJ,Female,0,No,No,72,49-72 mo,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),41.38,3010.19,5,No,0,,N/A
0030-BGOX,Female,0,No,Yes,24,13-24 mo,No,DSL,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),41.0,954.83,4,No,0,,N/A
0031-RLSZ,Male,0,Yes,Yes,7,0-12 mo,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,31.28,277.85,6,Yes,1,,N/A
0032-GPDE,Male,0,Yes,No,18,13-24 mo,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),74.43,1265.61,5,No,0,,N/A
0033-ETYE,Female,0,Yes,Yes,72,49-72 mo,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,74.1,5234.59,3,No,0,,N/A
0034-JRMU,Female,0,No,No,14,13-24 mo,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),27.65,390.74,6,No,0,,N/A
0035-POQN,Female,0,Yes,Yes,72,49-72 mo,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,118.75,8582.38,4,Yes,1,,N/A
0036-HKKQ,Male,0,No,Yes,51,49-72 mo,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),34.91,1806.23,7,No,0,,N/A
0037-QAFC,Female,1,Yes,No,18,13-24 mo,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,18.25,262.93,3,No,0,,N/A
0038-RTTV,Male,0,No,Yes,24,13-24 mo,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),84.24,2010.75,2,No,0,,N/A
0039-CXCM,Male,1,Yes,Yes,29,25-48 mo,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,64.62,1888.99,5,No,0,,N/A
0040-LWKY,Male,0,Yes,No,35,25-48 mo,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),53.38,1909.28,2,No,0,,N/A
