customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0001-GBDZ,Male,0,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,72.62,311.16,No
0002-UYGM,Female,1,No,No,11,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,47.96,568.52,No
0003-PDEF,Male,0,No,No,31,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),61.45,1965.91,No
0004-QOJH,Male,0,Yes,No,69,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,77.89,5424.94,Yes
0005-VMJB,Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,102.22,541.63,No
0006-HMIH,Female,1,Yes,No,42,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.62,1323.21,No
0007-UOKY,Male,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,24.69,341.72,No
0008-CIZX,Male,0,Yes,No,52,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),51.16,2645.31,No
0009-CNAM,Male,0,Yes,No,36,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,52.94,1969.84,No
0010-UGKC,Female,0,Yes,Yes,23,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),51.72,1141.3,Yes
0011-YRMW,Male,0,Yes,Yes,33,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),79.33,2645.92,No
0012-WDCG,Male,0,Yes,No,66,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Mailed check,71.99,4752.46,Yes
